"GEO_ID","NAME","P5_001N","P5_002N","P5_003N","P5_004N","P5_005N","P5_006N","P5_007N","P5_008N","P5_009N","P5_010N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Institutionalized population:"," !!Total:!!Institutionalized population:!!Correctional facilities for adults"," !!Total:!!Institutionalized population:!!Juvenile facilities"," !!Total:!!Institutionalized population:!!Nursing facilities/Skilled-nursing facilities"," !!Total:!!Institutionalized population:!!Other institutional facilities"," !!Total:!!Noninstitutionalized population:"," !!Total:!!Noninstitutionalized population:!!College/University student housing"," !!Total:!!Noninstitutionalized population:!!Military quarters"," !!Total:!!Noninstitutionalized population:!!Other noninstitutional facilities",
"1400000US17089851912","Census Tract 8519.12, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089851913","Census Tract 8519.13, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852001","Census Tract 8520.01, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852002","Census Tract 8520.02, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852004","Census Tract 8520.04, Kane County, Illinois","78","70","0","0","70","0","8","0","0","8",
"1400000US17089852005","Census Tract 8520.05, Kane County, Illinois","94","94","0","0","94","0","0","0","0","0",
"1400000US17089852101","Census Tract 8521.01, Kane County, Illinois","10","0","0","0","0","0","10","0","0","10",
"1400000US17089852103","Census Tract 8521.03, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852104","Census Tract 8521.04, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852201","Census Tract 8522.01, Kane County, Illinois","9","0","0","0","0","0","9","0","0","9",
"1400000US17089852203","Census Tract 8522.03, Kane County, Illinois","81","7","0","7","0","0","74","0","0","74",
"1400000US17089852204","Census Tract 8522.04, Kane County, Illinois","573","573","393","180","0","0","0","0","0","0",
"1400000US17089852300","Census Tract 8523, Kane County, Illinois","32","0","0","0","0","0","32","0","0","32",
"1400000US17089852403","Census Tract 8524.03, Kane County, Illinois","7","0","0","0","0","0","7","0","0","7",
"1400000US17089852404","Census Tract 8524.04, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852405","Census Tract 8524.05, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852406","Census Tract 8524.06, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852407","Census Tract 8524.07, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852408","Census Tract 8524.08, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852500","Census Tract 8525, Kane County, Illinois","92","92","0","0","92","0","0","0","0","0",
"1400000US17089852606","Census Tract 8526.06, Kane County, Illinois","76","55","0","0","55","0","21","0","0","21",
"1400000US17089852607","Census Tract 8526.07, Kane County, Illinois","8","0","0","0","0","0","8","0","0","8",
"1400000US17089852608","Census Tract 8526.08, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852700","Census Tract 8527, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852803","Census Tract 8528.03, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089852805","Census Tract 8528.05, Kane County, Illinois","100","100","0","0","100","0","0","0","0","0",
"1400000US17089852806","Census Tract 8528.06, Kane County, Illinois","20","0","0","0","0","0","20","0","0","20",
"1400000US17089852807","Census Tract 8528.07, Kane County, Illinois","10","0","0","0","0","0","10","0","0","10",
"1400000US17089852808","Census Tract 8528.08, Kane County, Illinois","173","134","0","134","0","0","39","0","0","39",
"1400000US17089852903","Census Tract 8529.03, Kane County, Illinois","240","240","0","0","240","0","0","0","0","0",
"1400000US17089852904","Census Tract 8529.04, Kane County, Illinois","2","0","0","0","0","0","2","0","0","2",
"1400000US17089852905","Census Tract 8529.05, Kane County, Illinois","255","89","69","0","20","0","166","0","0","166",
"1400000US17089852906","Census Tract 8529.06, Kane County, Illinois","4","0","0","0","0","0","4","0","0","4",
"1400000US17089852907","Census Tract 8529.07, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089853001","Census Tract 8530.01, Kane County, Illinois","24","0","0","0","0","0","24","0","0","24",
"1400000US17089853004","Census Tract 8530.04, Kane County, Illinois","296","295","0","0","295","0","1","0","0","1",
"1400000US17089853005","Census Tract 8530.05, Kane County, Illinois","14","0","0","0","0","0","14","0","0","14",
"1400000US17089853006","Census Tract 8530.06, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089853007","Census Tract 8530.07, Kane County, Illinois","18","0","0","0","0","0","18","0","0","18",
"1400000US17089853008","Census Tract 8530.08, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089853100","Census Tract 8531, Kane County, Illinois","50","50","0","0","50","0","0","0","0","0",
"1400000US17089853200","Census Tract 8532, Kane County, Illinois","18","0","0","0","0","0","18","0","0","18",
"1400000US17089853300","Census Tract 8533, Kane County, Illinois","12","0","0","0","0","0","12","0","0","12",
"1400000US17089853401","Census Tract 8534.01, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089853402","Census Tract 8534.02, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089853500","Census Tract 8535, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089853601","Census Tract 8536.01, Kane County, Illinois","10","0","0","0","0","0","10","0","0","10",
"1400000US17089853602","Census Tract 8536.02, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089853900","Census Tract 8539, Kane County, Illinois","525","0","0","0","0","0","525","525","0","0",
"1400000US17089854001","Census Tract 8540.01, Kane County, Illinois","167","141","0","0","141","0","26","0","0","26",
"1400000US17089854002","Census Tract 8540.02, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089854100","Census Tract 8541, Kane County, Illinois","60","60","0","0","60","0","0","0","0","0",
"1400000US17089854200","Census Tract 8542, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
"1400000US17089854301","Census Tract 8543.01, Kane County, Illinois","11","0","0","0","0","0","11","0","0","11",
"1400000US17089854302","Census Tract 8543.02, Kane County, Illinois","0","0","0","0","0","0","0","0","0","0",
